Income_Level,Satisfaction_Score,Discount_Used,Age,Number_of_Subscriptions,Tenure_Months,Monthly_Total_Spend,Avg_Usage_Hours_Per_Week,App_Switch_Frequency,Customer_Support_Interactions,Spend_Per_Subscription,Usage_Per_Subscription,Interactions_Per_Tenure_Month,Engagement_Score,Risk_Indicator,Device_Type_Web,Device_Type_iOS,Payment_Mode_Debit Card,Payment_Mode_UPI,Payment_Mode_Wallet,Will_Cancel_Next_3_Months
3.0,1.0,0.0,0.6827895574314817,0.7145011193809087,-1.1601935159063148,0.9764467085148218,0.5967946184343541,-0.9383107648939792,-1.5635710745034659,-0.19620547380895137,-0.42075304350665055,-0.4666572382956102,-1.1543784181031485,-1.0110272299239438,1.0,0.0,0.0,0.0,1.0,0
3.0,1.0,0.0,-0.8437677354267454,-1.0386184161859566,-1.0865352017071264,0.593707287463184,1.5009291329401864,-0.705675349597816,-1.2158018529316326,2.1436770593600287,0.9609090776538225,-0.34610556372128565,-1.0633516343198137,-0.5637441081351636,0.0,1.0,0.0,0.0,1.0,0
2.0,10.0,0.0,0.4647099441660207,0.13012794085862023,-1.3075101443046917,-0.03747335669400592,0.36238937393284165,0.22486631158683693,-1.2158018529316326,-0.4155008136060399,-0.32598189564045266,-0.28582982689368475,1.5831678201215864,-1.0110272299239438,0.0,1.0,0.0,0.0,1.0,0
2.0,10.0,0.0,0.6100963530096614,0.7145011193809087,0.7549226532725859,0.436469091474985,1.233037424938458,1.6206788033638164,0.5230442549275337,-0.45850620626712896,-0.3259817103734496,-0.27519265754654576,2.4597220343314765,-1.0110272299239438,1.0,0.0,1.0,0.0,0.0,1
1.0,8.0,1.0,1.6278012149151462,0.42231453011976444,-0.7182436307111839,-0.10650221271450573,0.4963352279337058,0.9227725574753266,-0.520263409787966,-0.6069150125185815,-0.3764849290436536,-0.23416463078625843,1.0774634657697264,-0.7128384820647571,1.0,0.0,0.0,1.0,0.0,0
3.0,3.0,1.0,0.1739371264787393,1.5910608871643412,1.2705308526669052,3.0841417031337017,0.39587583743305754,-0.24040451900548954,-1.5635710745034659,0.2094675076275006,-0.5654039300547449,-0.4666572382956102,-0.5542759176056082,-1.0110272299239438,0.0,1.0,1.0,0.0,0.0,0
2.0,5.0,1.0,-0.26222210005218277,0.13012794085862023,-0.055318802918487495,0.04206821466597533,1.0656051074373778,1.388043388067653,-0.8680326313597994,-0.36582302635786523,-0.19130688604719606,-0.3723123856902707,0.4031909933005799,-0.5140459834919658,0.0,1.0,0.0,1.0,0.0,0
2.0,7.0,0.0,1.5551080104933257,-1.622991594708245,0.31297276807745494,-0.24274978833943645,0.0944976659311139,-1.636217010782469,-0.1724941882161328,6.064177571615848,2.8164030579716766,-0.31166211126734605,0.4739896029098406,-0.4146497342055703,0.0,0.0,0.0,1.0,0.0,0
2.0,4.0,0.0,-1.0618473486922064,-0.45424523766366814,-1.1601935159063148,0.058986028093087346,-1.345420264578175,0.9227725574753266,0.5230442549275337,0.16065178252560602,-0.5504404501811988,0.34706645206402664,-0.9453539516377131,0.7781052572311769,0.0,0.0,1.0,0.0,0.0,1
1.0,5.0,0.0,-0.6983813265831048,-0.7464318269248124,-0.12897711711767598,-1.4632690771900534,-0.977069166075799,-0.007769103709326296,1.5663519196430336,-1.0516978032788804,-0.3372054263573001,-0.02280759958312791,-0.6250745272148686,1.2253883790199571,0.0,0.0,0.0,0.0,1.0,0
